considered_식도락관광,considered_쇼핑,considered_자연경관감상,considered_휴양/휴식,considered_고궁/역사유적지,considered_전통문화체험,considered_박물관/전시관,considered_KPOP/한류체험,considered_공연관람,considered_지역축제,considered_유흥,considered_놀이공원/테마파크,considered_뷰티/미용 관광,considered_치료/건강검진,considered_스포츠/레포츠 관람,considered_스포츠/레포츠 참가,considered_기타,satisfied_식도락관광,satisfied_쇼핑,satisfied_자연경관감상,satisfied_휴양/휴식,satisfied_고궁/역사유적지,satisfied_전통문화체험,satisfied_박물관/전시관,satisfied_KPOP/한류체험,satisfied_공연관람,satisfied_지역축제,satisfied_유흥,satisfied_놀이공원/테마파크,satisfied_뷰티/미용 관광,satisfied_치료/건강검진,satisfied_스포츠/레포츠 관람,satisfied_스포츠/레포츠 참가,satisfied_기타,RVIT_1,RVIT_2,RVIT_3,RVIT_4,Q1_1,Q1_2,R일HAP_1,R일HAP_2,R일HAP_3,R일HAP_4,R일HAP_5,R일HAP_6,R일HAP_7,R일HAP_8,R일HAP_9,R일HAP_10,R일HAP_11,R일HAP_12,C총액1인TOT2_1,C총액1인TOT2_2,C총액1인TOT2_3,C총액1인TOT2_4,C총액1인TOT2_5
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
