pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,ZQ2_31,ZQ2_32,ZQ2_33,ZQ2_34,Q2_3a2at,Q2_3a2bt,Q2_3a2ct,Q2_3a2dt,Q2_3a2et,Q2_3a3at,Q2_3a3bt,Q2_3a3ct,Q2_3a3dt,Q2_3a3et,Q2_3b2a,Q2_3b2b,Q2_3b2c,Q2_3b2d,Q2_3b2e,Q2_3b3a,Q2_3b3b,Q2_3b3c,Q2_3b3d,Q2_3b3e,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a_dk,Q6,Q6_1,Q6_1R,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8a20,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,WQ9_5a01,WQ9_5a02,WQ9_5a03,WQ9_5a04,WQ9_5a05,WQ9_5a06,WQ9_5a07,WQ9_5a08,WQ9_5a09,WQ9_5a10,WQ9_5a11,WQ9_5a12,WQ9_5a13,WQ9_5a14,WQ9_5a15,WQ9_5a16,WQ9_5a17,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인TOT2,C총액1인TOT2,총액1인TOT_개별국제교통비제외2,C총액1인TOT_개별국제교통비제외2,MDAY전체TOT_RAW61,RDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외61,RDAY전체_개별국제교통비제외61,MDAY개별대체61,MDAY에어대체61,MDAY단체대체61,RDAY개별대체61,RDAY에어대체61,RDAY단체대체61,MDAY개별대체_개별국제교통비제외61,MDAY에어대체_개별국제교통비제외61,MDAY단체대체_개별국제교통비제외61,RDAY개별대체_개별국제교통비제외61,RDAY에어대체_개별국제교통비제외61,RDAY단체대체_개별국제교통비제외61,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,단기투어상품1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,C단기투어상품1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q12a27,Q13,Q14,D_MON,D_BUN,D_NAT,D_NAT2,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight1,weight2,weight3,weight4,weight
57,5,4,5,1,1,7,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,10,6,1,,,,1,,,,,,11,6,1,,,,,,,,,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,,2,3,,,,,,,,,,,,,,,,,,2,3,,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,6,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,2710.00,3,2310.00,3,451.67,4,385.00,4,451.67,,,4,,,385.00,,,4,,,,10.00,1000.00,500.00,100.00,400.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00,50.00,500.00,0.00,0.00,0.00,0.00,0.00,,1,5,4,3,4,1,1,1,1,1,3,3,1,1,1,3,4,1,1,1,1,1,1,2,,,5,,,,,,,,,40.00,30.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,3,1,5,,5,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,13,,2,5,1,4,1,198.02,,,,198.02
58,4,4,5,1,1,7,10,2,1,12,5,,5,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,11,2,1,6,,,1,4,,,5,4,3,,,,11,5,1,,,,,,,,,,,2,,,2,,2,,4,,,,,4,3,0,4,3,3,3,0,3,3,1,2,,,5,,,,,,,,,,,,,,,,1,2,5,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1364.68,2,846.37,1,272.94,3,169.27,3,272.94,,,3,,,169.27,,,3,,,,0.08,202.46,121.48,0.00,0.00,518.30,0.00,0.00,0.00,0.00,0.00,24.30,0.00,0.00,4.05,0.00,485.91,8.10,0.00,0.00,0.00,0.00,,1,4,4,1,1,5,1,1,1,1,1,2,1,1,2,1,4,2,1,1,1,1,1,2,,,,,,,,,,,,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,6,5,5,5,,,4,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,5,5,1,1,3,,2,4,1,4,1,784.28,,,,784.28
59,3,3,5,1,1,7,2,8,1,5,7,,9,10,6,1,,,,,,,,,,,,,,,,,,,,,,,,12,5,2,2,5,10,4,3,2,,,,,,,,11,6,1,,3,4,,,,,,,,1,0,0,2,,,,4,,,7,,9,8,2,7,6,3,3,2,3,3,1,2,,,,,,,,,,12,,,,,,,,,12,1,2,41001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,6,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1065.90,2,742.95,1,177.65,3,123.82,3,177.65,,,3,,,123.82,,,3,,,,0.16,161.48,161.48,16.15,0.00,322.95,0.00,0.00,0.00,0.00,8.07,32.30,0.00,0.00,0.00,32.30,322.95,8.07,0.00,0.00,0.00,0.00,,1,3,4,2,1,4,1,1,1,1,2,3,1,1,1,3,4,2,1,1,1,1,,,3,,,6,,,,,,,,0.00,0.00,70.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,6,3,4,5,5,,,,,,,,,,5,,,,,5,3,5,5,5,5,3,5,5,5,5,4,4,1,1,3,,2,3,1,3,1,607.02,,,,607.02
60,1,1,,1,1,8,7,3,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,2,6,2,6,3,4,3,1,,5,6,7,,,,11,2,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,,3,,5,,,,,,11,,,,,,,,,,11,1,3,11001,11002,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,5,6,6,6,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,922.68,1,727.26,1,153.78,3,121.21,3,153.78,,,3,,,121.21,,,3,,,,1.40,279.18,209.38,0.00,0.00,195.42,0.00,0.00,0.00,0.00,69.79,27.92,0.00,0.00,0.00,0.00,139.59,0.00,0.00,0.00,0.00,0.00,,1,4,4,1,1,3,1,1,1,1,3,2,1,1,1,1,4,1,1,1,1,1,1,2,3,,,,,,,,,,,34.00,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,5,5,5,,5,,5,,,,,,5,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,1,,1,2,1,1,1,1049.50,,,,1049.50
61,5,4,5,1,1,2,9,10,4,1,2,,9,2,5,,2,,4,1,,,,,,,,,,,,,,,,,,,,1,,,4,,,3,,,,,,,,,,11,5,,,3,,,,,,,,,2,,,2,,,3,,,,,,3,2,0,3,2,3,2,0,3,2,,2,,,5,,,,,,,12,,,,,,,,,2,12,5,11506,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,1,,4,5,5,5,4,0,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1647.30,2,1259.78,2,329.46,4,251.96,3,329.46,,,4,,,251.96,,,3,,,,0.32,161.47,32.29,16.15,0.00,387.52,0.00,0.00,0.00,0.00,32.29,32.29,0.00,0.00,0.00,0.00,968.81,16.15,0.00,0.00,0.00,0.00,,1,3,3,2,1,4,1,1,1,1,3,3,1,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,,,,,,33.00,34.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,7,4,,4,,,4,,,,,,,4,,,,,4,3,4,4,4,4,3,4,4,4,,5,5,1,1,3,,2,2,1,4,1,876.80,,,,876.80
63,1,1,,1,1,5,7,10,1,5,4,,5,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,6,2,12,2,6,4,1,4,6,,10,8,1,,,,11,6,1,2,3,,,6,,,9,,,1,0,0,2,,,3,,,,,,4,3,0,4,3,3,3,0,3,3,1,2,,,5,6,7,,,,,12,,,,,,,,,12,6,1,11012,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,1,,4,5,5,5,4,0,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1493.88,2,1024.28,2,298.78,3,204.86,3,298.78,,,3,,,204.86,,,3,,,,0.08,404.82,323.86,56.68,0.00,469.59,0.00,0.00,0.00,0.00,8.10,16.19,0.00,0.00,0.00,0.00,161.93,4.05,0.00,0.00,0.00,48.58,,1,4,4,3,1,4,1,1,1,1,2,2,1,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,,,,,,34.00,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,7,,5,5,5,,,5,5,5,,,,,5,,,,,5,4,5,5,5,5,4,5,5,5,5,5,5,1,1,3,,1,2,1,1,1,829.98,,,,829.98
64,2,2,5,1,1,10,8,4,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,2,1,4,1,,1,,,,8,,,,,,11,6,1,,,,,,,,9,,,1,0,0,2,,2,,4,,,,,4,3,0,4,3,3,3,0,3,3,1,2,,,5,6,,,,,,12,,,,16,,,,,6,12,1,11012,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,1,,4,5,5,5,4,0,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1292.00,2,879.25,1,258.40,3,175.85,3,258.40,,,3,,,175.85,,,3,,,,0.08,165.10,330.20,82.55,0.00,412.75,0.00,0.00,0.00,0.00,24.77,24.77,0.00,0.00,0.00,0.00,165.10,4.13,0.00,0.00,0.00,82.55,,1,3,4,3,1,4,1,1,1,1,2,2,1,1,1,1,4,2,1,1,1,1,1,2,,,,,7,,,,,,,33.00,34.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,2,6,7,5,5,5,,,5,5,,,,,,5,,,,4,5,5,5,5,5,4,4,5,5,5,5,5,5,1,1,3,,1,5,1,2,1,787.71,,,,787.71
66,1,1,,1,1,8,1,4,1,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,14,8,2,3,6,5,1,4,3,,5,3,4,1,8,,,3,1,,,,,,,,,,,2,,,2,,,,,,6,,,3,2,0,3,2,3,2,0,3,2,1,2,3,4,,,,8,,,11,,,14,,,,,,,14,2,1,11522,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,4,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,1887.30,2,1684.54,2,471.83,4,421.14,4,471.83,,,4,,,421.14,,,4,,,,0.14,97.32,139.83,0.00,0.00,202.76,0.00,0.00,0.00,0.00,20.97,0.00,0.00,0.00,0.00,0.00,559.32,27.97,838.99,0.00,0.00,0.00,,1,2,4,1,1,4,1,1,1,1,2,1,1,1,1,1,4,2,4,1,1,1,1,2,,,,,,,9,,,,,34.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,2,3,5,5,5,5,5,5,,,,5,,,5,,,5,,,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,1,,2,1,1,1,1,1351.39,,,,1351.39
68,2,2,5,1,1,5,8,7,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,5,2,1,,,,6,3,1,,,,11,5,1,,,,,,,,,,,2,,,2,,2,,4,,,,,3,2,0,3,2,3,2,0,3,2,1,2,3,,,,,,,,,,,,,,,,,,2,1,3,11002,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,6,7,7,7,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,6,,,,,,,,1539.63,2,999.45,1,219.95,3,142.78,3,219.95,,,3,,,142.78,,,3,,,,0.11,259.29,216.07,21.61,0.00,540.18,0.00,0.00,0.00,0.00,10.80,32.41,21.61,0.00,0.00,0.00,432.15,5.40,0.00,0.00,0.00,0.00,,1,4,4,2,1,5,1,1,1,1,2,3,2,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,,,,,,33.00,34.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,4,7,5,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,3,5,5,5,5,,5,5,1,1,3,,1,4,1,2,1,763.10,,,,763.10
69,1,1,,1,2,3,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,,,4,,,,,,,,,,11,4,,,,,,,,,,,99,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,,5,,,,,,,,,,,,,,,,3,5,1,11057,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,79,80,,12,79,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,79,,,,,,,,,,2500.00,3,1400.00,2,,,,,,,,,,,,,,,,,,0.00,0.00,300.00,500.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,500.00,0.00,0.00,0.00,0.00,0.00,,1,1,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,2,3,,,,,,,,,,,30.00,20.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,3,7,5,5,5,5,,5,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,97,,2,3,2,1,1,1005.03,,,,1005.03
