페르소나ID,일차,코스ID,구간순서,장소명,위도,경도,address,road_address
0,1,0A,1,경복궁,37.57761329,126.9768979,서울 종로구 사직로 161,서울 종로구 사직로 161
0,1,0A,2,북촌한옥마을,37.58176815,126.9848125,서울 종로구 북촌로 53,서울 종로구 북촌로 53
0,1,0A,3,인사동길/쌈지길,37.57435206,126.9847313,서울 종로구 인사동길 44,서울 종로구 인사동길 44
0,1,0A,4,익선동 한옥거리,37.57343719,126.9897757,서울 종로구 익선동,
0,1,0A,5,청계천(야간),37.55366459,127.0193069,서울 종로구 서린동 148,
0,1,0A,6,삼청동수제비(식당),37.58459777,126.9819712,서울 종로구 삼청로 101-1,서울 종로구 삼청로 101-1
0,2,0B,1,명동 쇼핑스트리트,37.56168277,126.9893801,서울 중구 삼일대로 302,서울 중구 삼일대로 302
0,2,0B,2,올리브영 명동 글로벌 플래그십,37.54417332,127.0544304,서울 성동구 연무장7길 13,서울 성동구 연무장7길 13
0,2,0B,3,남산케이블카,37.55658072,126.984031,서울 중구 소파로 83,서울 중구 소파로 83
0,2,0B,4,N서울타워(야경),37.55130497,126.9882306,서울 용산구 남산공원길 105,서울 용산구 남산공원길 105
0,2,0B,5,명동교자(식당),37.56255453,126.9856143,서울 중구 명동10길 29,서울 중구 명동10길 29
0,3,0C,1,동대문디자인플라자(DDP),37.56718431,127.009911,서울 중구 을지로 281,서울 중구 을지로 281
0,3,0C,2,동대문 쇼핑타운/두타몰,37.57085784,127.007617,서울 종로구 종로 266,서울 종로구 종로 266
0,3,0C,3,흥인지문(동대문),37.57114151,127.0095719,서울 종로구 종로 288,서울 종로구 종로 288
0,3,0C,4,청계천(야간),37.55366459,127.0193069,서울 종로구 서린동 148,
0,3,0C,5,동대문 닭한마리 골목(식당),37.57029124,127.0052976,서울 종로구 종로40가길 25,서울 종로구 종로40가길 25
0,4,0D,1,봉은사,37.51551811,127.0577103,서울 강남구 봉은사로 531,서울 강남구 봉은사로 531
0,4,0D,2,씨라이프 코엑스 아쿠아리움,37.51274336,127.0588471,서울 강남구 영동대로 513,서울 강남구 영동대로 513
0,4,0D,3,별마당도서관,37.51019286,127.0601594,서울 강남구 삼성동 159-9,
0,4,0D,4,올리브영 코엑스몰,37.50959144,127.0592733,서울 성동구 연무장7길 13,서울 성동구 연무장7길 13
0,4,0D,5,우리밀국시/가람국시(코엑스),37.52437305,127.040704,서울 강남구 선릉로152길 15,서울 강남구 선릉로152길 15
0,5,0E,1,경의선숲길,37.55880348,126.9253385,서울 마포구 동교동 190-1,
0,5,0E,2,홍대 프리마켓/버스킹,37.54869202,126.9204893,서울 마포구 서교동 365-29,
0,5,0E,3,올리브영 홍대입구역,37.55625795,126.9235992,서울 성동구 연무장7길 13,서울 성동구 연무장7길 13
0,5,0E,4,육몽 홍대본점(식당),37.55322239,126.9207108,서울 마포구 양화로16길 19,서울 마포구 양화로16길 19
1,1,1A,1,국립중앙박물관,37.52384681,126.980203,서울 용산구 서빙고로 137,서울 용산구 서빙고로 137
1,1,1A,2,리움미술관,37.53833657,126.9991174,서울 용산구 이태원로55길 60-16,서울 용산구 이태원로55길 60-16
1,1,1A,3,이태원 편집숍/앤티크가구거리,37.53452521,126.9943339,서울 용산구 이태원동 119-23,
1,1,1A,4,한강 이랜드 크루즈(야경),37.52567949,126.9384616,서울 영등포구 여의동로 290,서울 영등포구 여의동로 290
1,1,1A,5,온지음(예약)(식당),37.58049474,126.9733907,서울 종로구 효자로 49,서울 종로구 효자로 49
1,2,1B,1,롯데월드타워 서울스카이,37.51254232,127.1025465,서울 송파구 올림픽로 300,서울 송파구 올림픽로 300
1,2,1B,2,석촌호수,37.50768073,127.0991128,서울 송파구 잠실동 47,
1,2,1B,3,에비뉴엘/롯데월드몰,37.51289804,127.1017077,서울 송파구 올림픽로 300,서울 송파구 올림픽로 300
1,2,1B,4,비채나/라세느(예약)(식당),37.56538301,126.9810126,서울 중구 을지로 30,서울 중구 을지로 30
1,3,1C,1,서울숲,37.54432223,127.0376178,서울 성동구 성수동1가 678-1,
1,3,1C,2,할아버지공장(카페),37.54108991,127.0548288,서울 성동구 성수이로7가길 9,
1,3,1C,3,무신사 대림창고,37.54148559,127.0564607,서울 성동구 연무장길 83,서울 성동구 연무장길 83
1,3,1C,4,올리브영 성수점,37.54418321,127.0544825,서울 성동구 연무장7길 13,서울 성동구 연무장7길 13
1,3,1C,5,기후(오마카세·예약)(식당),37.54059915,127.05615,서울 성동구 성수이로 66,서울 성동구 성수이로 66
1,4,1D,1,도산공원,37.52455769,127.0352876,서울 강남구 신사동 649-9,
1,4,1D,2,가로수길 플래그십,37.52065771,127.0223357,서울 강남구 도산대로 403,서울 강남구 도산대로 403
1,4,1D,3,밍글스 런치(예약)(식당),37.52537012,127.0441606,서울 강남구 도산대로67길 19,서울 강남구 도산대로67길 19
1,5,1E,1,남산 예장공원,37.56048259,126.9888302,서울 중구 주자동 5-22,
1,5,1E,2,남산케이블카,37.55658072,126.984031,서울 중구 소파로 83,서울 중구 소파로 83
1,5,1E,3,N서울타워(야경),37.55130497,126.9882306,서울 용산구 남산공원길 105,서울 용산구 남산공원길 105
1,5,1E,4,목멱산방,37.55811277,126.9868941,서울 중구 퇴계로20길 71,서울 중구 퇴계로20길 71
2,1,2A,1,여의도 한강공원,37.5263886,126.9351293,서울 영등포구 여의도동 85,
2,1,2A,2,IFC몰,37.52504158,126.9258959,서울 영등포구 국제금융로 10,서울 영등포구 국제금융로 10
2,1,2A,3,노들섬,37.51766014,126.9580339,서울 용산구 양녕로 445,서울 용산구 양녕로 445
2,1,2A,4,반포대교 분수,37.51262196,126.9983939,서울 서초구 반포동 649-1,
2,2,2B,1,덕수궁·돌담길,37.56497658,126.9756646,서울 중구 세종대로 지하 101,서울 중구 세종대로 지하 101
2,2,2B,2,정동길,37.56585893,126.9727758,서울 중구 정동길 43,서울 중구 정동길 43
2,2,2B,3,광화문광장,37.57260286,126.9769164,서울 종로구 세종로 1-68,
2,2,2B,4,광화문집,37.5713663,126.9749834,서울 종로구 새문안로5길 12,서울 종로구 새문안로5길 12
2,3,2C,1,경의선숲길,37.55880348,126.9253385,서울 마포구 동교동 190-1,
2,3,2C,2,더 핸드 앤드 몰트 탭룸,37.53274269,126.9709248,서울 용산구 한강대로 149 (한강로2가),서울특별시 용산구 한강대로 149 (한강로2가)
2,3,2C,3,프리모바치오바치(카페),37.55478399,126.9237037,서울 마포구 와우산로23길 44,서울 마포구 와우산로23길 44
2,4,2D,1,서울숲,37.54432223,127.0376178,서울 성동구 성수동1가 678-1,
2,4,2D,2,할아버지공장(카페),37.54108991,127.0548288,서울특별시 성동구 성수이로7가길 9,
2,4,2D,3,무신사 대림창고,37.54148559,127.0564607,서울 성동구 연무장길 83,서울 성동구 연무장길 83
2,4,2D,4,올리브영 성수점,37.54418321,127.0544825,서울 성동구 연무장7길 13,서울 성동구 연무장7길 13
2,4,2D,5,소문난성수감자탕(식당),37.54283084,127.0544046,서울 성동구 연무장길 45,서울 성동구 연무장길 45
