페르소나ID,일차,코스ID,구간순서,장소명,위도,경도,address,road_address
0,1,0A,1,Gyeongbokgung Palace,37.57761329,126.9768979,"161, Sajik-ro, Jongno-gu, Seoul","161, Sajik-ro, Jongno-gu, Seoul"
0,1,0A,2,Bukchon Hanok Village,37.58176815,126.9848125,"53, Bukchon-ro, Jongno-gu, Seoul","53, Bukchon-ro, Jongno-gu, Seoul"
0,1,0A,3,Insadong-gil / Ssamziegil,37.57435206,126.9847313,"44, Insadong-gil, Jongno-gu, Seoul","44, Insadong-gil, Jongno-gu, Seoul"
0,1,0A,4,Ikseon-dong Hanok Street,37.57343719,126.9897757,"Ikseon-dong, Jongno-gu, Seoul",
0,1,0A,5,Cheonggyecheon Stream (Night),37.55366459,127.0193069,"148, Seorin-dong, Jongno-gu, Seoul",
0,1,0A,6,Samcheongdong Sujebi (Restaurant),37.58459777,126.9819712,"101-1, Samcheong-ro, Jongno-gu, Seoul","101-1, Samcheong-ro, Jongno-gu, Seoul"
0,2,0B,1,Myeongdong Shopping Street,37.56168277,126.9893801,"302, Samil-daero, Jung-gu, Seoul","302, Samil-daero, Jung-gu, Seoul"
0,2,0B,2,Olive Young Myeongdong Global Flagship,37.54417332,127.0544304,"13, Yeonmujang 7-gil, Seongdong-gu, Seoul","13, Yeonmujang 7-gil, Seongdong-gu, Seoul"
0,2,0B,3,Namsan Cable Car,37.55658072,126.984031,"83, Sopa-ro, Jung-gu, Seoul","83, Sopa-ro, Jung-gu, Seoul"
0,2,0B,4,N Seoul Tower (Night View),37.55130497,126.9882306,"105, Namsangongwon-gil, Yongsan-gu, Seoul","105, Namsangongwon-gil, Yongsan-gu, Seoul"
0,2,0B,5,Myeongdong Kyoja (Restaurant),37.56255453,126.9856143,"29, Myeongdong 10-gil, Jung-gu, Seoul","29, Myeongdong 10-gil, Jung-gu, Seoul"
0,3,0C,1,Dongdaemun Design Plaza (DDP),37.56718431,127.009911,"281, Eulji-ro, Jung-gu, Seoul","281, Eulji-ro, Jung-gu, Seoul"
0,3,0C,2,Dongdaemun Shopping Town / Doota Mall,37.57085784,127.007617,"266, Jong-ro, Jongno-gu, Seoul","266, Jong-ro, Jongno-gu, Seoul"
0,3,0C,3,Heunginjimun Gate (Dongdaemun),37.57114151,127.0095719,"288, Jong-ro, Jongno-gu, Seoul","288, Jong-ro, Jongno-gu, Seoul"
0,3,0C,4,Cheonggyecheon Stream (Night),37.55366459,127.0193069,"148, Seorin-dong, Jongno-gu, Seoul",
0,3,0C,5,Dongdaemun Dak-hanmari Alley (Restaurant),37.57029124,127.0052976,"25, Jong-ro 40ga-gil, Jongno-gu, Seoul","25, Jong-ro 40ga-gil, Jongno-gu, Seoul"
0,4,0D,1,Bongeunsa Temple,37.51551811,127.0577103,"531, Bongeunsa-ro, Gangnam-gu, Seoul","531, Bongeunsa-ro, Gangnam-gu, Seoul"
0,4,0D,2,COEX Aquarium,37.51274336,127.0588471,"513, Yeongdong-daero, Gangnam-gu, Seoul","513, Yeongdong-daero, Gangnam-gu, Seoul"
0,4,0D,3,Starfield Library,37.51019286,127.0601594,"159-9, Samseong-dong, Gangnam-gu, Seoul",
0,4,0D,4,Olive Young COEX Mall,37.50959144,127.0592733,"13, Yeonmujang 7-gil, Seongdong-gu, Seoul","13, Yeonmujang 7-gil, Seongdong-gu, Seoul"
0,4,0D,5,Woorimil Guksi / Garam Guksi (COEX),37.52437305,127.040704,"15, Seolleung-ro 152-gil, Gangnam-gu, Seoul","15, Seolleung-ro 152-gil, Gangnam-gu, Seoul"
0,5,0E,1,Gyeongui Line Forest Park,37.55880348,126.9253385,"190-1, Donggyo-dong, Mapo-gu, Seoul",
0,5,0E,2,Hongdae Flea Market / Busking,37.54869202,126.9204893,"365-29, Seogyo-dong, Mapo-gu, Seoul",
0,5,0E,3,Olive Young Hongik Univ. Station,37.55625795,126.9235992,"13, Yeonmujang 7-gil, Seongdong-gu, Seoul","13, Yeonmujang 7-gil, Seongdong-gu, Seoul"
0,5,0E,4,Yukmong Hongdae Main Branch (Restaurant),37.55322239,126.9207108,"19, Yanghwa-ro 16-gil, Mapo-gu, Seoul","19, Yanghwa-ro 16-gil, Mapo-gu, Seoul"
1,1,1A,1,National Museum of Korea,37.52384681,126.980203,"137, Seobinggo-ro, Yongsan-gu, Seoul","137, Seobinggo-ro, Yongsan-gu, Seoul"
1,1,1A,2,Leeum Museum of Art,37.53833657,126.9991174,"60-16, Itaewon-ro 55-gil, Yongsan-gu, Seoul","60-16, Itaewon-ro 55-gil, Yongsan-gu, Seoul"
1,1,1A,3,Itaewon Select Shops / Antique Furniture Street,37.53452521,126.9943339,"119-23, Itaewon-dong, Yongsan-gu, Seoul",
1,1,1A,4,Han River E-Land Cruise (Night View),37.52567949,126.9384616,"290, Yeouidong-ro, Yeongdeungpo-gu, Seoul","290, Yeouidong-ro, Yeongdeungpo-gu, Seoul"
1,1,1A,5,Onjium (Reservation) (Restaurant),37.58049474,126.9733907,"49, Hyoja-ro, Jongno-gu, Seoul","49, Hyoja-ro, Jongno-gu, Seoul"
1,2,1B,1,Lotte World Tower Seoul Sky,37.51254232,127.1025465,"300, Olympic-ro, Songpa-gu, Seoul","300, Olympic-ro, Songpa-gu, Seoul"
1,2,1B,2,Seokchon Lake,37.50768073,127.0991128,"47, Jamsil-dong, Songpa-gu, Seoul",
1,2,1B,3,Avenuel / Lotte World Mall,37.51289804,127.1017077,"300, Olympic-ro, Songpa-gu, Seoul","300, Olympic-ro, Songpa-gu, Seoul"
1,2,1B,4,Bicena / La Seine (Reservation) (Restaurant),37.56538301,126.9810126,"30, Eulji-ro, Jung-gu, Seoul","30, Eulji-ro, Jung-gu, Seoul"
1,3,1C,1,Seoul Forest,37.54432223,127.0376178,"678-1, Seongsu-dong 1(il)-ga, Seongdong-gu, Seoul",
1,3,1C,2,Grandpa Factory (Cafe),37.54108991,127.0548288,"9, Seongsui-ro 7ga-gil, Seongdong-gu, Seoul",
1,3,1C,3,Musinsa Daerim Changgo,37.54148559,127.0564607,"83, Yeonmujang-gil, Seongdong-gu, Seoul","83, Yeonmujang-gil, Seongdong-gu, Seoul"
1,3,1C,4,Olive Young Seongsu Branch,37.54418321,127.0544825,"13, Yeonmujang 7-gil, Seongdong-gu, Seoul","13, Yeonmujang 7-gil, Seongdong-gu, Seoul"
1,3,1C,5,Gihu (Omakase Reservation) (Restaurant),37.54059915,127.05615,"66, Seongsui-ro, Seongdong-gu, Seoul","66, Seongsui-ro, Seongdong-gu, Seoul"
1,4,1D,1,Dosan Park,37.52455769,127.0352876,"649-9, Sinsa-dong, Gangnam-gu, Seoul",
1,4,1D,2,Garosu-gil Flagship Stores,37.52065771,127.0223357,"403, Dosan-daero, Gangnam-gu, Seoul","403, Dosan-daero, Gangnam-gu, Seoul"
1,4,1D,3,Mingles Lunch (Reservation) (Restaurant),37.52537012,127.0441606,"19, Dosan-daero 67-gil, Gangnam-gu, Seoul","19, Dosan-daero 67-gil, Gangnam-gu, Seoul"
1,5,1E,1,Namsan Yejang Park,37.56048259,126.9888302,"5-22, Juja-dong, Jung-gu, Seoul",
1,5,1E,2,Namsan Cable Car,37.55658072,126.984031,"83, Sopa-ro, Jung-gu, Seoul","83, Sopa-ro, Jung-gu, Seoul"
1,5,1E,3,N Seoul Tower (Night View),37.55130497,126.9882306,"105, Namsangongwon-gil, Yongsan-gu, Seoul","105, Namsangongwon-gil, Yongsan-gu, Seoul"
