페르소나ID,일차,코스ID,구간순서,장소명,위도,경도,address,road_address
0,1,0A,1,景福宮(キョンボックン),37.57761329,126.9768979,"ソウル特別市 鐘路区 社稷路 161","ソウル特別市 鐘路区 社稷路 161"
0,1,0A,2,北村韓屋村(プクチョンハノンマウル),37.58176815,126.9848125,"ソウル特別市 鐘路区 北村路 53","ソウル特別市 鐘路区 北村路 53"
0,1,0A,3,仁寺洞(インサドン)通り/サムジギル,37.57435206,126.9847313,"ソウル特別市 鐘路区 仁寺洞キル 44","ソウル特別市 鐘路区 仁寺洞キル 44"
0,1,0A,4,益善洞(イクソンドン)韓屋通り,37.57343719,126.9897757,"ソウル特別市 鐘路区 益善洞",
0,1,0A,5,清渓川(チョンゲチョン) (夜間),37.55366459,127.0193069,"ソウル特別市 鐘路区 瑞麟洞 148",
0,1,0A,6,三清洞スジェビ(サムチョンドンスジェビ) (食堂),37.58459777,126.9819712,"ソウル特別市 鐘路区 三清路 101-1","ソウル特別市 鐘路区 三清路 101-1"
0,2,0B,1,明洞(ミョンドン)ショッピングストリート,37.56168277,126.9893801,"ソウル特別市 中区 三一大路 302","ソウル特別市 中区 三一大路 302"
0,2,0B,2,オリーブヤング明洞グローバルフラッグシップ,37.54417332,127.0544304,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
0,2,0B,3,南山(ナムサン)ケーブルカー,37.55658072,126.984031,"ソウル特別市 中区 ソパ路 83","ソウル特別市 中区 ソパ路 83"
0,2,0B,4,Nソウルタワー (夜景),37.55130497,126.9882306,"ソウル特別市 龍山区 南山公園キル 105","ソウル特別市 龍山区 南山公園キル 105"
0,2,0B,5,明洞餃子(ミョンドンキョジャ) (食堂),37.56255453,126.9856143,"ソウル特別市 中区 明洞10キル 29","ソウル特別市 中区 明洞10キル 29"
0,3,0C,1,東大門デザインプラザ (DDP),37.56718431,127.009911,"ソウル特別市 中区 乙支路 281","ソウル特別市 中区 乙支路 281"
0,3,0C,2,東大門ショッピングタウン/ドゥータモール,37.57085784,127.007617,"ソウル特別市 鐘路区 鐘路 266","ソウル特別市 鐘路区 鐘路 266"
0,3,0C,3,興仁之門(フンインジムン) (東大門),37.57114151,127.0095719,"ソウル特別市 鐘路区 鐘路 288","ソウル特別市 鐘路区 鐘路 288"
0,3,0C,4,清渓川(チョンゲチョン) (夜間),37.55366459,127.0193069,"ソウル特別市 鐘路区 瑞麟洞 148",
0,3,0C,5,東大門タッカンマリ横丁 (食堂),37.57029124,127.0052976,"ソウル特別市 鐘路区 鐘路40カキル 25","ソウル特別市 鐘路区 鐘路40カキル 25"
0,4,0D,1,奉恩寺(ポンウンサ),37.51551811,127.0577103,"ソウル特別市 江南区 奉恩寺路 531","ソウル特別市 江南区 奉恩寺路 531"
0,4,0D,2,COEXアクアリウム,37.51274336,127.0588471,"ソウル特別市 江南区 永東大路 513","ソウル特別市 江南区 永東大路 513"
0,4,0D,3,ピョルマダン図書館,37.51019286,127.0601594,"ソウル特別市 江南区 三成洞 159-9",
0,4,0D,4,オリーブヤングCOEXモール店,37.50959144,127.0592733,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
0,4,0D,5,ウリミルグクシ/カラムグクシ (COEX),37.52437305,127.040704,"ソウル特別市 江南区 宣陵路152キル 15","ソウル特別市 江南区 宣陵路152キル 15"
0,5,0E,1,京義(キョンイ)線森の道,37.55880348,126.9253385,"ソウル特別市 麻浦区 東橋洞 190-1",
0,5,0E,2,弘大(ホンデ)フリーマーケット/バスキング,37.54869202,126.9204893,"ソウル特別市 麻浦区 西橋洞 365-29",
0,5,0E,3,オリーブヤング弘大入口駅店,37.55625795,126.9235992,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
0,5,0E,4,ユクモン弘大本店 (食堂),37.55322239,126.9207108,"ソウル特別市 麻浦区 楊花路16キル 19","ソウル特別市 麻浦区 楊花路16キル 19"
1,1,1A,1,国立中央博物館,37.52384681,126.980203,"ソウル特別市 龍山区 西氷庫路 137","ソウル特別市 龍山区 西氷庫路 137"
1,1,1A,2,リウム美術館,37.53833657,126.9991174,"ソウル特別市 龍山区 梨泰院路55キル 60-16","ソウル特別市 龍山区 梨泰院路55キル 60-16"
1,1,1A,3,梨泰院(イテウォン)セレクトショップ/アンティーク家具通り,37.53452521,126.9943339,"ソウル特別市 龍山区 梨泰院洞 119-23",
1,1,1A,4,漢江(ハンガン)イーランドクルーズ (夜景),37.52567949,126.9384616,"ソウル特別市 永登浦区 汝矣東路 290","ソウル特別市 永登浦区 汝矣東路 290"
1,1,1A,5,オンジウム (予約) (食堂),37.58049474,126.9733907,"ソウル特別市 鐘路区 孝子路 49","ソウル特別市 鐘路区 孝子路 49"
1,2,1B,1,ロッテワールドタワー ソウルスカイ,37.51254232,127.1025465,"ソウル特別市 松坡区 オリンピック路 300","ソウル特別市 松坡区 オリンピック路 300"
1,2,1B,2,石村(ソクチョン)湖,37.50768073,127.0991128,"ソウル特別市 松坡区 蚕室洞 47",
1,2,1B,3,アベニュエル/ロッテワールドモール,37.51289804,127.1017077,"ソウル特別市 松坡区 オリンピック路 300","ソウル特別市 松坡区 オリンピック路 300"
1,2,1B,4,ピチェナ/ラセーヌ (予約) (食堂),37.56538301,126.9810126,"ソウル特別市 中区 乙支路 30","ソウル特別市 中区 乙支路 30"
1,3,1C,1,ソウルの森,37.54432223,127.0376178,"ソウル特別市 城東区 聖水洞1街 678-1",
1,3,1C,2,ハラボジ工場 (カフェ),37.54108991,127.0548288,"ソウル特別市 城東区 聖水二路7ガキル 9",
1,3,1C,3,ムシンサ テラス,37.54148559,127.0564607,"ソウル特別市 城東区 演武場キル 83","ソウル特別市 城東区 演武場キル 83"
1,3,1C,4,オリーブヤング聖水店,37.54418321,127.0544825,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
1,3,1C,5,キフ (おまかせ・予約) (食堂),37.54059915,127.05615,"ソウル特別市 城東区 聖水二路 66","ソウル特別市 城東区 聖水二路 66"
1,4,1D,1,島山(トサン)公園,37.52455769,127.0352876,"ソウル特別市 江南区 新沙洞 649-9",
1,4,1D,2,カロスキル フラッグシップストア,37.52065771,127.0223357,"ソウル特別市 江南区 島山大路 403","ソウル特別市 江南区 島山大路 403"
1,4,1D,3,ミングルス ランチ (予約) (食堂),37.52537012,127.0441606,"ソウル特別市 江南区 島山大路67キル 19","ソウル特別市 江南区 島山大路67キル 19"
1,5,1E,1,南山(ナムサン)礼場公園,37.56048259,126.9888302,"ソウル特別市 中区 鋳字洞 5-22",
1,5,1E,2,南山ケーブルカー,37.55658072,126.984031,"ソウル特別市 中区 ソパ路 83","ソウル特別市 中区 ソパ路 83"
1,5,1E,3,Nソウルタワー (夜景),37.55130497,126.9882306,"ソウル特別市 龍山区 南山公園キル 105","ソウル特別市 龍山区 南山公園キル 105"
1,5,1E,4,木覓山房(モンミョクサンバン),37.55811277,126.9868941,"ソウル特別市 中区 退渓路20キル 71","ソウル特別市 中区 退渓路20キル 71"
2,1,2A,1,汝矣島(ヨイド)漢江公園,37.5263886,126.9351293,"ソウル特別市 永登浦区 汝矣島洞 85",
2,1,2A,2,IFCモール,37.52504158,126.9258959,"ソウル特別市 永登浦区 国際金融路 10","ソウル特別市 永登浦区 国際金融路 10"
2,1,2A,3,ノドゥル島,37.51766014,126.9580339,"ソウル特別市 龍山区 譲寧路 445","ソウル特別市 龍山区 譲寧路 445"
2,1,2A,4,盤浦大橋(パンポデギョ) 虹の噴水,37.51262196,126.9983939,"ソウル特別市 瑞草区 盤浦洞 649-1",
2,2,2B,1,徳寿宮(トクスグン)・石垣道,37.56497658,126.9756646,"ソウル特別市 中区 世宗大路 地下 101","ソウル特別市 中区 世宗大路 地下 101"
2,2,2B,2,貞洞(チョンドン)キル,37.56585893,126.9727758,"ソウル特別市 中区 貞洞キル 43","ソウル特別市 中区 貞洞キル 43"
2,2,2B,3,光化門(クァンファムン)広場,37.57260286,126.9769164,"ソウル特別市 鐘路区 世宗路 1-68",
2,2,2B,4,光化門チプ,37.5713663,126.9749834,"ソウル特別市 鐘路区 セムナン路5キル 12","ソウル特別市 鐘路区 セムナン路5キル 12"
2,3,2C,1,京義線森の道,37.55880348,126.9253385,"ソウル特別市 麻浦区 東橋洞 190-1",
2,3,2C,2,ザ・ハンド・アンド・モルト・タップルーム,37.53274269,126.9709248,"ソウル特別市 龍山区 漢江大路 149","ソウル特別市 龍山区 漢江大路 149"
2,3,2C,3,プリモ・バチオ・バチ (カフェ),37.55478399,126.9237037,"ソウル特別市 麻浦区 臥牛山路23キル 44","ソウル特別市 麻浦区 臥牛山路23キル 44"
2,4,2D,1,ソウルの森,37.54432223,127.0376178,"ソウル特別市 城東区 聖水洞1街 678-1",
2,4,2D,2,ハラボジ工場 (カフェ),37.54108991,127.0548288,"ソウル特別市 城東区 聖水二路7ガキル 9",
2,4,2D,3,ムシンサ テラス,37.54148559,127.0564607,"ソウル特別市 城東区 演武場キル 83","ソウル特別市 城東区 演武場キル 83"
2,4,2D,4,オリーブヤング聖水店,37.54418321,127.0544825,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
2,4,2D,5,ソムンナン聖水カムジャタン (食堂),37.54283084,127.0544046,"ソウル特別市 城東区 演武場キル 45","ソウル特別市 城東区 演武場キル 45"
3,1,3A,1,ロッテ百貨店/アベニュエル,37.51291427,127.1016964,"ソウル特別市 松坡区 オリンピック路 300","ソウル特別市 松坡区 オリンピック路 300"
3,1,3A,2,明洞ストリート,37.56209483,126.9841147,"ソウル特別市 中区 三一大路 302","ソウル特別市 中区 三一大路 302"
3,1,3A,3,明洞地下商店街,37.56349289,126.982085,"ソウル特別市 中区 乙支路 地下 42","ソウル特別市 中区 乙支路 地下 42"
3,1,3A,4,オリーブヤング明洞グローバル,37.54417332,127.0544304,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
3,1,3A,5,百貨店食堂街 (韓定食) (食堂),37.50428126,127.0045667,"ソウル特別市 瑞草区 新盤浦路 176","ソウル特別市 瑞草区 新盤浦路 176"
3,2,3B,1,DDP,37.56718431,127.009911,"ソウル特別市 中区 乙支路 281","ソウル特別市 中区 乙支路 281"
3,2,3B,2,東大門ショッピングタウン/ドゥータ,37.57042086,127.0076181,"ソウル特別市 鐘路区 鐘路 266","ソウル特別市 鐘路区 鐘路 266"
3,2,3B,3,東大門総合市場 (生地) (食堂),37.57085784,127.007617,"ソウル特別市 鐘路区 鐘路 266","ソウル特別市 鐘路区 鐘路 266"
3,2,3B,4,タッカンマリ横丁 (食堂),37.57029124,127.0052976,"ソウル特別市 鐘路区 鐘路40カキル 25","ソウル特別市 鐘路区 鐘路40カキル 25"
3,3,3C,1,COEXモール,37.51292302,127.0581324,"ソウル特別市 江南区 永東大路 513","ソウル特別市 江南区 永東大路 513"
3,3,3C,2,ピョルマダン図書館,37.51019286,127.0601594,"ソウル特別市 江南区 三成洞 159-9",
3,3,3C,3,現代百貨店貿易センター店,37.50865144,127.0597748,"ソウル特別市 江南区 テヘラン路 517","ソウル特別市 江南区 テヘラン路 517"
3,3,3C,4,オリーブヤングCOEX店,37.50959144,127.0592733,"ソウル特別市 城東区 演武場7キル 13","ソウル特別市 城東区 演武場7キル 13"
3,3,3C,5,フードコート/ウリミルグクシ (食堂),37.53635612,127.0037077,"ソウル特別市 龍山区 漢南大路 91","ソウル特別市 龍山区 漢南大路 91"
3,4,3D,1,カロスキルセレクトショップ,37.52344902,127.0266523,"ソウル特別市 城東区 アチャ山路1キル 11","ソウル特別市 城東区 アチャ山路1キル 11"
3,4,3D,2,島山公園,37.52455769,127.0352876,"ソウル特別市 江南区 新沙洞 649-9",
