페르소나ID,일차,코스ID,구간순서,장소명,위도,경도,address,road_address
0,1,0A,1,景福宫,37.57761329,126.9768979,"首尔特别市 钟路区 社稷路 161","首尔特别市 钟路区 社稷路 161"
0,1,0A,2,北村韩屋村,37.58176815,126.9848125,"首尔特别市 钟路区 北村路 53","首尔特别市 钟路区 北村路 53"
0,1,0A,3,仁寺洞路/森吉街,37.57435206,126.9847313,"首尔特别市 钟路区 仁寺洞街 44","首尔特别市 钟路区 仁寺洞街 44"
0,1,0A,4,益善洞韩屋街,37.57343719,126.9897757,"首尔特别市 钟路区 益善洞",
0,1,0A,5,清溪川 (夜间),37.55366459,127.0193069,"首尔特别市 钟路区 瑞麟洞 148",
0,1,0A,6,三清洞疙瘩汤 (餐厅),37.58459777,126.9819712,"首尔特别市 钟路区 三清路 101-1","首尔特别市 钟路区 三清路 101-1"
0,2,0B,1,明洞购物街,37.56168277,126.9893801,"首尔特别市 中区 三一大路 302","首尔特别市 中区 三一大路 302"
0,2,0B,2,欧利芙洋明洞全球旗舰店,37.54417332,127.0544304,"首尔特别市 城东区 练武场7街 13","首尔特别市 城東區 練武場7街 13"
0,2,0B,3,南山缆车,37.55658072,126.984031,"首尔特别市 中区 素坡路 83","首尔特别市 中区 素坡路 83"
0,2,0B,4,N首尔塔 (夜景),37.55130497,126.9882306,"首尔特别市 龙山区 南山公园街 105","首尔特别市 龙山区 南山公园街 105"
0,2,0B,5,明洞饺子 (餐厅),37.56255453,126.9856143,"首尔特别市 中区 明洞10街 29","首尔特别市 中区 明洞10街 29"
0,3,0C,1,东大门设计广场 (DDP),37.56718431,127.009911,"首尔特别市 中区 乙支路 281","首尔特别市 中区 乙支路 281"
0,3,0C,2,东大门购物城/斗塔购物中心,37.57085784,127.007617,"首尔特别市 钟路区 钟路 266","首尔特别市 钟路区 钟路 266"
0,3,0C,3,兴仁之门 (东大门),37.57114151,127.0095719,"首尔特别市 钟路区 钟路 288","首尔特别市 钟路区 钟路 288"
0,3,0C,4,清溪川 (夜间),37.55366459,127.0193069,"首尔特别市 钟路区 瑞麟洞 148",
0,3,0C,5,东大门一只鸡胡同 (餐厅),37.57029124,127.0052976,"首尔特别市 钟路区 钟路40街 25","首尔特别市 钟路区 钟路40街 25"
0,4,0D,1,奉恩寺,37.51551811,127.0577103,"首尔特别市 江南区 奉恩寺路 531","首尔特别市 江南区 奉恩寺路 531"
0,4,0D,2,COEX水族馆,37.51274336,127.0588471,"首尔特别市 江南区 永东大路 513","首尔特别市 江南区 永东大路 513"
0,4,0D,3,星空图书馆,37.51019286,127.0601594,"首尔特别市 江南区 三成洞 159-9",
0,4,0D,4,欧利芙洋COEX购物中心店,37.50959144,127.0592733,"首尔特别市 城东区 练武场7街 13","首尔特别市 城东区 练武场7街 13"
