title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가회동성당,서울특별시 종로구 북촌로 57 (가회동),126.9846616856,37.5820858828,,A02,A0201,A02010900,2733967,12,관광지
간데메공원,서울특별시 동대문구 서울시립대로2길 59 (답십리동),127.0490783005,37.5728353382,,A02,A0202,A02020700,2763807,12,관광지
간송옛집,서울특별시 도봉구 시루봉로 149-18 (방학동),127.0282025819,37.6649464754,,A02,A0201,A02010400,3483083,12,관광지
갈산공원,서울특별시 양천구 신정동 162-56,126.8684105358,37.5061176314,,A02,A0202,A02020700,1116925,12,관광지
감로암(서울),서울특별시 종로구 율곡로23길 16 (충신동),127.0066515383,37.5753815016,,A02,A0201,A02010800,294439,12,관광지
강남,서울특별시 강남구 압구정로 161 (압구정동),127.0270732739,37.5268958352,,A02,A0203,A02030400,264570,12,관광지
강남 마이스 관광특구,서울특별시 강남구 영동대로 513,127.0591318945,37.5118092746,,A02,A0202,A02020200,2456536,12,관광지
강동예찬시비,서울특별시 강동구 구천면로 141 (천호동),127.1207892964,37.5426290283,,A02,A0205,A02050200,127377,12,관광지
강변스파랜드,서울특별시 광진구 구의강변로 45 (구의동),127.0913227521,37.5349377239,,A02,A0202,A02020400,128961,12,관광지
강서습지생태공원,서울특별시 강서구 양천로27길 279-23,126.8171490732,37.5860879769,,A01,A0101,A01010500,809490,12,관광지
강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),126.8366643489,37.5722343802,,A02,A0203,A02030600,3043735,12,관광지
강서한강공원,서울특별시 강서구 양천로27길 279-23 (방화동),126.8171601831,37.5860935311,,A02,A0202,A02020700,2733968,12,관광지
개봉유수지 생태공원,서울특별시 구로구 개봉동,126.8632141714,37.4924524597,,A02,A0202,A02020700,2591792,12,관광지
개운사(서울),서울특별시 성북구 개운사길 73 (안암동5가),127.0282880342,37.5902162775,,A02,A0201,A02010800,126501,12,관광지
개화산 호국공원,서울특별시 강서구 개화동,126.8045142510,37.5812522032,,A02,A0202,A02020700,3385911,12,관광지
거꾸로하우스,서울특별시 성동구 고산자로 71 (성수동1가),127.0361052512,37.5457465853,0507-1357-8670,A02,A0203,A02030400,3440844,12,관광지
거리공원,서울특별시 구로구 구로동,126.8916141621,37.4995521419,,A02,A0202,A02020700,2733966,12,관광지
거북선나루터,서울특별시 용산구 이촌동 302-183,126.9676539295,37.5182707714,,A01,A0101,A01011800,2758868,12,관광지
건청궁,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,,A02,A0201,A02010700,1604652,12,관광지
경국사(서울),서울특별시 성북구 보국문로 113-10 (정릉동),127.0056310926,37.6139242251,,A02,A0201,A02010800,294505,12,관광지
경리단길,서울특별시 용산구 이태원동,126.9875154390,37.5384521160,,A02,A0203,A02030400,2930839,12,관광지
경복궁,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,,A02,A0201,A02010100,126508,12,관광지
경성 부민관 폭탄 의거지,서울특별시 중구 세종대로 125 (태평로1가),126.9768017026,37.5675596526,,A02,A0201,A02010700,2373204,12,관광지
경운동민병옥가옥,서울특별시 종로구 인사동10길 23-9,126.9858034574,37.5747089831,,A02,A0201,A02010700,264470,12,관광지
경의선책거리,서울특별시 마포구 와우산로37길 35,126.9290369242,37.5564989709,,A02,A0203,A02030600,2500229,12,관광지
경찰혼,서울특별시 영등포구 국회대로 608 (당산동3가),126.9015402823,37.5262992108,,A02,A0205,A02050200,1826438,12,관광지
경희궁,서울특별시 종로구 새문안로 45,126.9685079323,37.5704425020,,A02,A0201,A02010100,126484,12,관광지
경희궁 숭정전,서울특별시 중구 장충동2가,127.0011136538,37.5577528954,,A02,A0201,A02010100,1606042,12,관광지
경희궁 흥화문,서울특별시 종로구 새문안로 55 (신문로2가),126.9707771853,37.5698981615,,A02,A0201,A02010300,1604784,12,관광지
경희궁공원,서울특별시 종로구 새문안로 55 (신문로2가),126.9707771853,37.5698981615,,A02,A0202,A02020700,1604824,12,관광지
계남근린공원,서울특별시 양천구 신정동,126.8474483699,37.5127914822,,A02,A0202,A02020700,2611568,12,관광지
계남근린공원,서울특별시 양천구 중앙로17길 21 (신정동),117.9925662504,19.6944274800,,A02,A0202,A02020700,3428372,12,관광지
계동배렴가옥,서울특별시 종로구 계동길 89 (계동),126.9867059647,37.5813498946,,A02,A0203,A02030400,3045019,12,관광지
고당조만식선생동상,서울특별시 광진구 능동로 216,127.0771625000,37.5500801547,,A02,A0205,A02050400,1826457,12,관광지
고척근린공원,서울특별시 구로구 고척로45길 39 (고척동),126.8533341175,37.5066367467,,A02,A0202,A02020700,2591797,12,관광지
고척동 고인돌,서울특별시 구로구 고척동,126.8473068338,37.5086169645,,A02,A0201,A02010700,2591799,12,관광지
고촌이종근기념관,서울특별시 서대문구 충정로 8,126.9631392793,37.5597464264,,A02,A0204,A02040800,2453179,12,관광지
고하송진우선생동상,서울특별시 광진구 능동로 216 (능동),127.0762792676,37.5493552228,,A02,A0205,A02050400,1827189,12,관광지
공덕동 족발골목,서울특별시 마포구 만리재로 19 (공덕동),126.9533433790,37.5445785695,,A02,A0203,A02030600,749192,12,관광지
관문사(서울),서울특별시 서초구 바우뫼로7길 111,127.0222641043,37.4737408098,,A02,A0201,A02010800,776082,12,관광지
관악도시농업공원,서울특별시 관악구 광신길 142 (신림동),126.9271202346,37.4649234640,,A01,A0101,A01010500,3428259,12,관광지
관악산,서울특별시 관악구 관악로,126.9540987991,37.4484036407,,A01,A0101,A01010400,126480,12,관광지
관악산 낙성대공원,서울특별시 관악구 낙성대로 77,126.9602475997,37.4711316683,,A02,A0201,A02010700,126513,12,관광지
관악산 선우공원,서울특별시 관악구 문성로16다길 133-17 (신림동),126.9125881016,37.4692949186,,A01,A0101,A01010500,756580,12,관광지
관악산 호수공원,서울특별시 관악구 신림동,126.9473157972,37.4585523416,,A02,A0202,A02020700,756594,12,관광지
