title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
강남청소년센터,서울특별시 강남구 영동대로131길 26 (청담동),127.0540626647,37.5205165055,,A03,A0302,A03020200,131139,28,레포츠
강동그린웨이 가족캠핑장,서울특별시 강동구 천호대로206길 87,127.1540697938,37.5358637478,,A03,A0302,A03021700,1017568,28,레포츠
강서청소년회관,서울특별시 강서구 공항대로42길 23-19,126.8442724314,37.5564807920,02-3664-2456~8,A03,A0302,A03020200,131140,28,레포츠
경의선숲길(연트럴파크),서울특별시 마포구 연남동,126.9228151124,37.5620537697,,A03,A0302,A03022700,2553819,28,레포츠
경춘선숲길,서울특별시 노원구 하계동 107-2,127.0694164404,37.6316233163,,A03,A0302,A03022700,2704696,28,레포츠
고덕사회체육센터,서울특별시 강동구 구천면로93길 12 (상일동),127.1687596859,37.5512288958,,A03,A0303,A03030700,130999,28,레포츠
고려대학교 아이스링크,서울특별시 성북구 안암로 145,127.0318266080,37.5899635928,,A03,A0302,A03021300,131822,28,레포츠
고척 스카이돔,서울특별시 구로구 경인로 430 (고척동),126.8668969788,37.4992128511,,A03,A0302,A03020300,2591873,28,레포츠
골든블루 키즈빌리지,서울특별시 송파구 동남로 189 가락쌍용아파트,127.1298703879,37.4947153102,,A03,A0305,A03050100,2932972,28,레포츠
골든블루마리나,서울특별시 서초구 올림픽대로 2085-14,126.9959959554,37.5125052818,,A03,A0303,A03030300,2647687,28,레포츠
관악구민운동장,서울특별시 관악구 낙성대로 40,126.9574616287,37.4751755932,,A03,A0302,A03020300,131617,28,레포츠
관악산 무장애숲길,서울특별시 관악구 관악산나들길 149 (신림동),126.9457660204,37.4556526509,,A03,A0302,A03022700,2406545,28,레포츠
관악청소년센터,서울특별시 관악구 신림로23길 17,126.9351915730,37.4702257699,,A03,A0302,A03020200,131453,28,레포츠
광운대학교 아이스링크,서울특별시 노원구 광운로 20 (월계동),127.0581344826,37.6194328627,,A03,A0302,A03021300,131607,28,레포츠
구로올레길,서울특별시 구로구 구로동,126.8976139551,37.4874536537,,A03,A0302,A03022700,2591862,28,레포츠
그랜드하얏트 서울 아이스링크,서울특별시 용산구 소월로 322 (한남동),126.9968784173,37.5404826034,,A03,A0302,A03021300,131519,28,레포츠
난지캠핑장,서울특별시 마포구 한강난지로 28 (상암동),126.8726055709,37.5702380314,,A03,A0302,A03021700,2750941,28,레포츠
난지한강공원 익스트림장,서울특별시 마포구 한강난지로 162 (상암동),126.8851546298,37.5630252055,02-3780-0611,A03,A0302,A03022200,1029885,28,레포츠
난지한강공원물놀이장,서울특별시 마포구 한강난지로 162 (상암동),126.8851546298,37.5630252055,,A03,A0303,A03030700,3057076,28,레포츠
남산국치길,서울특별시 중구 주자동,126.9889146857,37.5605523511,,A03,A0302,A03022700,2778449,28,레포츠
노을캠핑장(서울),서울특별시 마포구 하늘공원로 108-1 (상암동),126.8786300417,37.5695215557,,A03,A0302,A03021700,2734894,28,레포츠
다이브라이프,서울특별시 서초구 반포대로20길 27 (서초동),127.0113174718,37.4881167222,,A03,A0303,A03030400,2773417,28,레포츠
더클라임 클라이밍 마곡점,서울특별시 강서구 마곡동로 62 (마곡동),126.8339038169,37.5606079049,,A03,A0302,A03021800,3076152,28,레포츠
더클라임 클라이밍 양재점,"서울특별시 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",127.0358930949,37.4852341646,,A03,A0302,A03021800,2753381,28,레포츠
더클라임 클라이밍 홍대B점,서울특별시 마포구 양화로 125 (서교동),126.9203238777,37.5548017901,,A03,A0302,A03021800,3082411,28,레포츠
동천재활체육센터,서울특별시 노원구 노원로18길 41,127.0739601103,37.6442385976,,A03,A0302,A03020200,3006882,28,레포츠
뚝섬 윈드서핑장,서울특별시 광진구 강변북로 2326 (자양동),127.0794573887,37.5270995313,,A03,A0303,A03030100,2743751,28,레포츠
레전드히어로즈 잠실롯데월드몰점,서울특별시 송파구 올림픽로 300 (신천동),127.1040749597,37.5141653654,,A03,A0305,A03050100,2946635,28,레포츠
롤퀸롤러장,서울특별시 성북구 동소문로20나길 47 (동선동1가),127.0191498961,37.5931074437,,A03,A0302,A03020400,3060926,28,레포츠
롤파크,서울특별시 종로구 종로 33,126.9814539585,37.5710121125,,A03,A0302,A03020300,2768087,28,레포츠
롯데월드 아이스링크(실내),서울특별시 송파구 올림픽로 240 롯데월드,127.0976311526,37.5123821225,,A03,A0302,A03021300,131297,28,레포츠
리버시티수상스키장,서울특별시 강남구 압구정로11길 37-53 (압구정동),127.0191711533,37.5291121024,,A03,A0303,A03030100,767780,28,레포츠
마곡 실내배드민턴장,서울특별시 강서구 양천로 251,126.8321675094,37.5732147415,,A03,A0302,A03020300,2755467,28,레포츠
마천청소년센터,서울특별시 송파구 성내천로 319 (마천동),127.1566596841,37.4923910635,,A03,A0302,A03020200,3060929,28,레포츠
명동사격장,서울특별시 중구 명동8가길 27 (충무로2가),126.9865398642,37.5618993737,,A03,A0302,A03021600,131901,28,레포츠
