title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가나아트센터,서울특별시 종로구 평창30길 28,126.9751811398,37.6122099878,,A02,A0206,A02060500,129854,14,문화시설
가람화랑,서울특별시 종로구 인사동10길 11 (관훈동),126.9856284839,37.5743368010,,A02,A0206,A02060500,129898,14,문화시설
가톨릭대학교 성신교정도서관,서울특별시 종로구 창경궁로 296-12,127.0043347827,37.5859580079,,A02,A0206,A02060900,130233,14,문화시설
가회민화박물관,서울특별시 종로구 북촌로 52 (가회동),126.9852783115,37.5815442900,,A02,A0206,A02060100,130446,14,문화시설
간송미술관(서울 보화각),서울특별시 성북구 성북로 102-11 (성북동),126.9973796423,37.5936764304,,A02,A0206,A02060500,130511,14,문화시설
강남문화원,서울특별시 강남구 논현로131길 40 (논현동),127.0271208603,37.5139001229,,A02,A0206,A02060700,130373,14,문화시설
강동문화원,서울특별시 강동구 상암로 168 (천호동),127.1412345681,37.5457706995,,A02,A0206,A02060700,130376,14,문화시설
강동아트센터,서울특별시 강동구 동남로 870 (상일동),127.1574079432,37.5511370351,,A02,A0206,A02060600,1750737,14,문화시설
강북문화원,서울특별시 강북구 삼각산로 85,127.0133101828,37.6408434551,,A02,A0206,A02060700,130217,14,문화시설
강서별빛우주과학관,서울특별시 강서구 금낭화로 178 (방화동),126.8146355542,37.5810885136,,A02,A0206,A02060300,3304115,14,문화시설
강서아트리움,서울특별시 강서구 가로공원로 195 (화곡동),126.8376513443,37.5376050905,,A02,A0206,A02060300,3386124,14,문화시설
갤러리 M,서울특별시 종로구 삼일대로 445,126.9869450321,37.5742729433,,A02,A0206,A02060500,745873,14,문화시설
갤러리 S.P,서울특별시 용산구 회나무로44가길 30,126.9943120449,37.5383633594,,A02,A0206,A02060500,130573,14,문화시설
갤러리 구루지,서울특별시 구로구 가마산로25길 21,126.8894255436,37.4970135079,,A02,A0206,A02060500,2591878,14,문화시설
갤러리 나우,서울특별시 강남구 언주로152길 16,127.0349865585,37.5228103408,,A02,A0206,A02060500,130840,14,문화시설
갤러리 라메르,서울특별시 종로구 인사동5길 26 (관훈동),126.9848841554,37.5726342077,,A02,A0206,A02060500,130577,14,문화시설
갤러리 마노,서울특별시 강남구 압구정로46길 71,127.0365891542,37.5240907763,,A02,A0206,A02060500,130581,14,문화시설
