title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가나안약국,서울특별시 강남구 도산대로 113(신사동),127.0208657845,37.5170635319,,A04,A0401,A04011000,2899721,38,쇼핑
가네시 롯데본점,서울특별시 중구 남대문로 81,126.9817485525,37.5647822864,,A04,A0401,A04011000,2928947,38,쇼핑
가넷옴므,서울특별시 금천구 디지털로 185 (가산동),126.8872262708,37.4782600918,,A04,A0401,A04011000,3306525,38,쇼핑
가든파이브라이프(Garden5life),서울특별시 송파구 충민로 66 (문정동),127.1249768726,37.4776672007,,A04,A0401,A04011200,732484,38,쇼핑
가락농수산물종합도매시장,서울특별시 송파구 양재대로 932,127.1109831778,37.4960925880,02-3435-1000,A04,A0401,A04010200,132215,38,쇼핑
가락몰,서울특별시 송파구 양재대로 932 (가락동),127.1107693087,37.4960786971,,A04,A0401,A04010600,2757647,38,쇼핑
가락수산시장,서울특별시 송파구 양재대로 932,127.1110192841,37.4961564700,,A04,A0401,A04010200,2757640,38,쇼핑
가리봉시장,서울특별시 구로구 우마3길 19,126.8893759759,37.4817874979,,A04,A0401,A04010200,2758198,38,쇼핑
가미성형외과,서울특별시 강남구 테헤란로105 13층,127.0285433827,37.4987019129,,A04,A0401,A04011000,2918688,38,쇼핑
가버 현대가든파이브,서울특별시 송파구 충민로66 2층,127.1249768726,37.4776672007,,A04,A0401,A04011000,2924584,38,쇼핑
가버 현대동대문,서울특별시 중구 장충단로13길 20,127.0076821872,37.5687878415,,A04,A0401,A04011000,2905752,38,쇼핑
간격 드로잉스페이스,서울특별시 마포구 월드컵로23길 20 망원빌,126.9077277407,37.5570179737,,A04,A0401,A04011200,2989027,38,쇼핑
강남고속터미널 혼수상가,서울특별시 서초구 신반포로 194,127.0071923683,37.5050868999,02-533-2489,A04,A0401,A04010600,132201,38,쇼핑
강남역데이원의원,서울특별시 서초구 강남대로 423 (서초동),127.0261602197,37.5003683433,,A04,A0401,A04011000,3306136,38,쇼핑
강남중고명품 아마레스,서울특별시 강남구 강남대로160길 50 (신사동),127.0226321932,37.5205048309,,A04,A0401,A04011000,3305292,38,쇼핑
강남테마피부과의원,서울특별시 서초구 강남대로 423한승빌딩 7층,127.0261602197,37.5003683433,,A04,A0401,A04011000,2893674,38,쇼핑
강남포도여성의원,서울특별시 강남구 강남대로 428 (역삼동),127.0268406981,37.5008766304,,A04,A0401,A04011000,3305948,38,쇼핑
강동역점JDX,서울특별시 강동구 천호대로1084,127.1321440179,37.5356244907,,A04,A0401,A04011000,2916126,38,쇼핑
강서농산물도매시장,서울특별시 강서구 발산로 40,126.8208190977,37.5535557140,,A04,A0401,A04010200,2741626,38,쇼핑
개봉중앙시장,서울특별시 구로구 개봉로17길 34,126.8541039069,37.4918523671,,A04,A0401,A04010200,2758193,38,쇼핑
갤러리아명품관,서울특별시 강남구 압구정로 407 (압구정동) 갤러리아백화점,127.0418357887,37.5279681978,,A04,A0401,A04011000,2931725,38,쇼핑
갤러리아명품관 WEST,서울특별시 강남구 압구정로 343 갤러리아백화점,127.0400692668,37.5285292127,,A04,A0401,A04011000,2911893,38,쇼핑
갤러리아백화점 명품관,서울특별시 강남구 압구정로 343 (압구정동),127.0400692668,37.5285292127,,A04,A0401,A04010300,273772,38,쇼핑
갤러리안경 대치,서울특별시 강남구 도곡로 415,127.0559964710,37.4975969789,,A04,A0401,A04011000,2927684,38,쇼핑
갤러리에이엠 가로수,서울특별시 강남구 논현로159길 66 (신사동),127.0231293374,37.5216491514,,A04,A0401,A04011000,2901673,38,쇼핑
갤럭시,서울특별시 중구 장충단로13길 20 (을지로6가)6층,127.0076821872,37.5687878415,,A04,A0401,A04011000,3306920,38,쇼핑
갤럭시 롯데 강남점,서울특별시 강남구 도곡로 401,127.0534550587,37.4967859168,,A04,A0401,A04011000,2925676,38,쇼핑
갤럭시 롯데 관악점,서울특별시 관악구 봉천로 209,126.9249974851,37.4905482278,,A04,A0401,A04011000,2926574,38,쇼핑
갤럭시 롯데 김포점,서울특별시 강서구 하늘길 38,126.8029675746,37.5668621822,,A04,A0401,A04011000,2922404,38,쇼핑
갤럭시 롯데 노원점,서울특별시 노원구 동일로 1414,127.0614081608,37.6553315254,,A04,A0401,A04011000,2917614,38,쇼핑
갤럭시 롯데 미아점,서울특별시 강북구 도봉로 62,127.0305315802,37.6146468109,,A04,A0401,A04011000,2926576,38,쇼핑
갤럭시 롯데 본점,서울특별시 중구 을지로 30,126.9810458210,37.5654016461,,A04,A0401,A04011000,2922431,38,쇼핑
