title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가락관광호텔,서울특별시 송파구 송파대로28길 5,127.1166298703,37.4966565128,02-400-6641~3,B02,B0201,B02010100,142785,32,숙박
강남스테이힐(Gangnam Stay Hill),서울특별시 강남구 테헤란로13길 65,127.0301236613,37.5034291706,010-2746-7882,B02,B0201,B02011100,2574118,32,숙박
강남아르누보씨티호텔,서울특별시 서초구 서초대로74길 49 (서초동),127.0281518997,37.4934664031,02-580-7300/7400,B02,B0201,B02010100,2650614,32,숙박
강남패밀리호텔,서울특별시 강남구 봉은사로 143 (논현동),127.0302068992,37.5065288121,,B02,B0201,B02010100,3079947,32,숙박
갤럭시호텔,서울특별시 영등포구 버드나루로 90 (당산동),126.9091229219,37.5263798928,,B02,B0201,B02010100,3080181,32,숙박
게더링 앳 홍대1(게더링앳홍대),서울특별시 마포구 동교로47길 3,126.9248537833,37.5632120044,010-5155-9995,B02,B0201,B02011100,2572777,32,숙박
게더링 앳 홍대2(게더링앳홍대),서울특별시 마포구 동교로47길 3,126.9248537833,37.5632120044,010-5155-9995,B02,B0201,B02011100,2572779,32,숙박
게스트하우스 류가(Guest House Ryuga),서울특별시 마포구 독막로7길 19,126.9187769621,37.5489302228,010-5417-1977,B02,B0201,B02011100,2574220,32,숙박
게스트하우스강남,서울특별시 강남구 압구정로34길 33,127.0309007260,37.5261154387,010-8282-3580,B02,B0201,B02011100,2607620,32,숙박
고운[한국관광 품질인증/Korea Quality],서울특별시 종로구 북촌로12길 35-1,126.9858393299,37.5830052419,0507-1466-0232,B02,B0201,B02011600,2950469,32,숙박
골든서울호텔,서울특별시 강서구 공항대로 663 (염창동),126.8781306951,37.5479601641,,B02,B0201,B02010100,3080065,32,숙박
골든호텔,서울특별시 강서구 마곡중앙6로 89 (마곡동),126.8373062948,37.5602246771,,B02,B0201,B02010900,3080089,32,숙박
관숙,서울특별시 마포구 백범로15길 27 (대흥동),126.9431719619,37.5488806651,0507-1403-9314,B02,B0201,B02011100,3438351,32,숙박
교대게스트하우스,서울특별시 서초구 사임당로17길 116 서초삼성래미안아파트,127.0190443994,37.4933329219,010-7390-5901,B02,B0201,B02011100,2528117,32,숙박
국제청소년센터 유스호스텔,서울특별시 강서구 금낭화로 234,126.8095860629,37.5794052857,02-2667-0535<br />02-2667-0157,B02,B0201,B02010600,1884337,32,숙박
그랜드 머큐어 앰버서더 서울 용산,서울특별시 용산구 청파로20길 95 (한강로3가),126.9630345182,37.5320052033,,B02,B0201,B02010100,3387829,32,숙박
그랜드 워커힐 서울,서울특별시 광진구 워커힐로 177,127.1107898477,37.5552218298,,B02,B0201,B02010100,142728,32,숙박
그랜드 인터컨티넨탈 서울 파르나스,서울특별시 강남구 테헤란로 521,127.0608845757,37.5095984514,02-555-5656,B02,B0201,B02010100,142769,32,숙박
