title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가나돈까스의집,서울특별시 강남구 언주로 608,127.0377755568,37.5099674377,,A05,A0502,A05020100,2871024,39,음식점
가담,서울특별시 강남구 언주로167길 35 (신사동),127.0302729961,37.5264209476,,A05,A0502,A05020400,2869760,39,음식점
가락골마산아구찜,서울특별시 송파구 송이로19길 3,127.1217599348,37.4975120620,,A05,A0502,A05020100,2757617,39,음식점
가람국시,서울특별시 강남구 언주로135길 13,127.0341090296,37.5168415735,,A05,A0502,A05020100,2871443,39,음식점
가마골,서울특별시 강동구 고덕로38길 63,127.1427398175,37.5517283673,02-3426-6460,A05,A0502,A05020100,2685271,39,음식점
가마로강정 신길삼거리,서울특별시 영등포구 영등포로64길 11,126.9172780766,37.5142453371,02-849-9288,A05,A0502,A05020100,2682774,39,음식점
가막골흑염소요리전문점,서울특별시 강서구 화곡로56길 37-11,126.8518857611,37.5516842628,,A05,A0502,A05020100,2849631,39,음식점
가문,서울특별시 강북구 노해로 13,127.0226983297,37.6368246468,02-990-0107,A05,A0502,A05020400,1052741,39,음식점
가미분식,서울특별시 서대문구 이화여대8길 2,126.9459519870,37.5587101279,02-364-3948,A05,A0502,A05020100,2685272,39,음식점
가미우동,서울특별시 마포구 홍익로2길 23,126.9238735556,37.5547407496,02-322-3302,A05,A0502,A05020300,2679033,39,음식점
가산물갈비&백년불고기,서울특별시 금천구 가산디지털1로 128 에스티엑스브이타워,126.8837682791,37.4773045854,,A05,A0502,A05020100,2836567,39,음식점
가야밀냉면해물칼국수,서울특별시 은평구 대서문길 36,126.9485378950,37.6555794652,,A05,A0502,A05020100,2873184,39,음식점
가야성,서울특별시 중구 을지로9길 6,126.9885339952,37.5665544247,02-2267-3939,A05,A0502,A05020400,2685273,39,음식점
가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78 홍우빌딩,126.9313127207,37.5209253677,,A05,A0502,A05020100,2850213,39,음식점
가정식당,서울특별시 영등포구 영등포로 118,126.8946521602,37.5213607729,02-2636-6697,A05,A0502,A05020100,2685375,39,음식점
가조쿠,서울특별시 성동구 연무장길 31-2,127.0531343258,37.5432832891,,A05,A0502,A05020300,2901229,39,음식점
가족천하 본점,서울특별시 영등포구 가마산로 330 (대림동),126.8963415265,37.4989023017,,A05,A0502,A05020100,2854328,39,음식점
가쯔야,서울특별시 중구 다동길 46,126.9817290217,37.5678958128,02-772-9023,A05,A0502,A05020300,2652903,39,음식점
