title,addr1,mapx,mapy,tel,cat1,cat2,cat3,contentid,contenttypeid,contenttype
가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),127.1107693087,37.4960786971,02-3435-0286,A02,A0207,A02070200,3113671,15,행사/공연/축제
가락옥토버페스트 캠핑축제,서울특별시 송파구 양재대로 932 (가락동),127.1107693087,37.4960786971,02-3435-0455,A02,A0207,A02070200,3379778,15,행사/공연/축제
강남역 케미스트릿 페스티벌,서울특별시 서초구 강남대로61길 7 (서초동),127.0259658291,37.4990823788,070-8892-4020,A02,A0207,A02070200,3383832,15,행사/공연/축제
강남페스티벌,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,02-3423-5543,A02,A0207,A02070200,737479,15,행사/공연/축제
강동북페스티벌,서울특별시 강동구 동남로 870 (상일동),127.1574079432,37.5511370351,02-471-0044,A02,A0207,A02070200,1806376,15,행사/공연/축제
강동선사문화축제,서울특별시 강동구 올림픽로 875 (암사동),127.1306157102,37.5591134023,02-3425-5240,A02,A0207,A02070200,1307813,15,행사/공연/축제
강북 공예문화축제,서울특별시 강북구 도봉로89길 13 (수유동),127.0256702080,37.6393938461,02-901-6443,A02,A0207,A02070200,3396215,15,행사/공연/축제
강북 캠퍼스 피크닉,서울특별시 강북구 인수봉로 159 (수유동),127.0133270431,37.6339636993,010-7286-1509,A02,A0207,A02070200,3014730,15,행사/공연/축제
강북구 어린이날 대축제,서울특별시 강북구 월계로 173 (번동),127.0445440464,37.6197242510,02-554-9795,A02,A0207,A02070200,3114696,15,행사/공연/축제
강북청소년축제 강추,서울특별시 강북구 도봉로76가길 55 (미아동),127.0274174771,37.6321225012,02-554-9795,A02,A0207,A02070200,3354973,15,행사/공연/축제
강서 아이들 까치까치 페스티벌,서울특별시 강서구 우장산로 66 (내발산동),126.8436392403,37.5534894617,02-2600-6970,A02,A0207,A02070200,3489679,15,행사/공연/축제
강서구 다문화축제,서울특별시 강서구 강서로5길 50 (화곡동),126.8489199998,37.5291062796,02-2600-6763<br>02-2606-2017,A02,A0207,A02070200,3489706,15,행사/공연/축제
강서봄빛페스타,서울특별시 강서구 금낭화로 178 (방화동),126.8146355542,37.5810885136,02-2600-6634,A02,A0207,A02070200,3483016,15,행사/공연/축제
강서어린이 동화축제,서울특별시 강서구 방화동,126.8132078893,37.5816995274,02-2600-6975,A02,A0207,A02070200,3487939,15,행사/공연/축제
강원관광두레 팝업스토어,서울특별시 성동구 뚝섬로13길 36 (성수동2가),127.0580978177,37.5413336048,070-7841-7696,A02,A0208,A02081300,3470412,15,행사/공연/축제
개발협력주간,서울특별시 종로구 세종대로 지하175 (세종로),126.9768376784,37.5722341099,070-7728-6600,A02,A0207,A02070200,3391612,15,행사/공연/축제
건군 76주년 국군의 날,서울특별시 용산구 두텁바위로 54-99 (용산동2가),126.9798799337,37.5416099454,02-3789-9560~4,A02,A0208,A02081300,3348515,15,행사/공연/축제
게임 이스포츠 서울,서울특별시 동대문구 경희대로 26 (회기동),117.9925662504,19.6944274800,010-8504-5467,A02,A0207,A02070200,3352940,15,행사/공연/축제
